weight,size,cat,dog
9.14,53.65,1.0,1.0
9.17,39.44,1.0,1.0
9.43,46.69,1.0,1.0
7.0,57.97,1.0,1.0
13.63,66.75,0.0,1.0
8.52,48.67,1.0,1.0
10.45,45.99,1.0,1.0
8.97,44.48,1.0,1.0
1.87,15.78,0.0,0.0
3.95,36.71,1.0,0.0
1.63,15.44,0.0,0.0
4.56,40.79,1.0,0.0
11.78,57.81,1.0,1.0
2.31,15.58,0.0,0.0
2.14,18.26,0.0,0.0
3.0,14.11,0.0,0.0
16.6,66.42,0.0,1.0
2.51,13.22,0.0,0.0
1.9,17.23,0.0,0.0
14.12,73.52,0.0,1.0
12.07,51.93,1.0,1.0
4.69,38.23,1.0,0.0
16.18,58.61,0.0,1.0
10.18,52.36,1.0,1.0
4.9,44.82,1.0,0.0
4.94,27.89,1.0,0.0
4.21,42.38,1.0,0.0
1.47,17.18,0.0,0.0
2.1,18.52,0.0,0.0
1.66,14.91,0.0,0.0
14.33,67.31,0.0,1.0
3.64,32.12,1.0,0.0
11.78,60.27,1.0,1.0
11.48,69.58,0.0,1.0
13.02,63.58,0.0,1.0
4.54,32.43,1.0,0.0
9.66,59.64,1.0,1.0
10.57,50.89,1.0,1.0
2.16,14.0,0.0,0.0
5.18,33.99,1.0,0.0
11.3,61.64,0.0,1.0
4.71,27.76,1.0,0.0
17.18,76.58,0.0,1.0
1.53,14.94,0.0,0.0
13.49,65.24,0.0,1.0
15.12,63.02,0.0,1.0
2.81,21.22,0.0,0.0
7.0,39.19,1.0,1.0
16.11,60.49,0.0,1.0
1.82,15.33,0.0,0.0
9.93,50.34,1.0,1.0
2.43,12.58,0.0,0.0
14.87,65.98,0.0,1.0
12.25,42.74,1.0,1.0
3.5,35.05,1.0,0.0
4.08,35.57,1.0,0.0
9.91,44.4,1.0,1.0
4.18,30.37,1.0,0.0
3.19,25.0,1.0,0.0
2.4,14.61,0.0,0.0
16.44,64.68,0.0,1.0
5.22,34.9,1.0,0.0
11.62,49.96,1.0,1.0
6.5,29.01,1.0,0.0
11.66,46.54,1.0,1.0
9.1,51.09,1.0,1.0
7.92,52.74,1.0,1.0
2.15,18.1,0.0,0.0
4.75,35.48,1.0,0.0
9.94,55.03,1.0,1.0
4.62,33.56,1.0,0.0
15.07,59.54,0.0,1.0
9.89,50.96,1.0,1.0
9.69,65.0,1.0,1.0
16.32,67.17,0.0,1.0
13.56,51.71,0.0,1.0
9.04,57.11,1.0,1.0
4.64,31.89,1.0,0.0
9.71,51.02,1.0,1.0
13.92,61.17,0.0,1.0
8.34,48.34,1.0,1.0
4.45,38.41,1.0,0.0
10.49,52.44,0.0,1.0
5.2,33.45,1.0,0.0
10.32,65.66,0.0,1.0
12.21,51.6,1.0,1.0
2.09,14.51,0.0,0.0
9.56,46.52,1.0,1.0
2.0,9.51,0.0,0.0
16.93,60.82,0.0,1.0
14.6,61.08,0.0,1.0
17.62,67.82,0.0,1.0
9.96,43.45,1.0,1.0
4.16,32.35,1.0,0.0
1.73,12.74,0.0,0.0
14.4,56.83,0.0,1.0
1.96,14.26,0.0,0.0
4.13,37.06,1.0,0.0
3.66,39.07,1.0,0.0
1.19,11.73,0.0,0.0
8.99,60.02,1.0,1.0
12.69,60.56,0.0,1.0
1.77,15.76,0.0,0.0
13.52,68.95,0.0,1.0
11.45,51.8,1.0,1.0
9.74,47.81,1.0,1.0
9.17,53.22,1.0,1.0
1.51,15.67,0.0,0.0
4.33,40.9,1.0,0.0
1.75,13.14,0.0,0.0
10.92,51.15,1.0,1.0
1.32,13.05,0.0,0.0
1.19,16.54,0.0,0.0
2.03,8.54,0.0,0.0
5.14,30.87,1.0,0.0
13.69,53.42,0.0,1.0
4.34,42.51,1.0,0.0
2.18,12.68,0.0,0.0
9.28,45.28,1.0,1.0
9.0,56.35,0.0,1.0
1.96,13.69,0.0,0.0
13.06,52.81,0.0,1.0
11.34,44.9,1.0,1.0
15.68,60.39,0.0,1.0
4.63,29.59,1.0,0.0
9.44,52.85,1.0,1.0
13.12,58.94,1.0,1.0
14.23,56.44,0.0,1.0
1.62,18.38,0.0,0.0
1.95,20.7,0.0,0.0
10.52,48.65,1.0,1.0
1.64,16.28,0.0,0.0
16.89,59.37,0.0,1.0
2.12,18.21,0.0,0.0
8.47,48.15,1.0,1.0
5.15,35.59,1.0,0.0
5.05,35.12,1.0,0.0
5.03,33.9,1.0,0.0
4.58,37.31,1.0,0.0
4.47,30.91,1.0,0.0
3.47,36.79,1.0,0.0
4.04,34.05,1.0,0.0
10.46,46.34,1.0,1.0
10.85,54.32,0.0,1.0
2.23,14.67,0.0,0.0
2.65,9.6,0.0,0.0
1.99,13.55,0.0,0.0
3.66,42.62,1.0,0.0
2.15,14.33,0.0,0.0
19.19,76.27,0.0,1.0
10.19,50.82,1.0,1.0
3.67,35.6,1.0,0.0
2.4,17.84,0.0,0.0
18.18,64.47,0.0,1.0
1.76,13.83,0.0,0.0
13.64,66.57,0.0,1.0
13.95,57.84,0.0,1.0
10.83,53.52,1.0,1.0
4.16,33.91,1.0,0.0
1.83,14.92,0.0,0.0
9.88,41.09,1.0,1.0
2.32,14.47,0.0,0.0
8.73,46.06,1.0,1.0
8.51,43.72,1.0,1.0
3.0,10.01,0.0,0.0
10.89,59.17,1.0,1.0
15.93,65.23,0.0,1.0
8.55,54.41,1.0,1.0
18.0,73.25,0.0,1.0
15.72,63.51,0.0,1.0
14.86,52.87,0.0,1.0
13.05,71.08,0.0,1.0
3.16,37.6,1.0,0.0
2.86,16.3,0.0,0.0
15.64,77.03,0.0,1.0
12.19,79.37,0.0,1.0
13.37,57.4,0.0,1.0
12.92,70.6,0.0,1.0
1.56,12.87,0.0,0.0
9.85,43.38,1.0,1.0
16.29,56.99,0.0,1.0
11.14,53.23,1.0,1.0
14.69,66.79,0.0,1.0
10.06,63.92,1.0,1.0
1.5,11.92,0.0,0.0
4.27,44.38,1.0,0.0
19.69,60.43,0.0,1.0
15.32,61.9,0.0,1.0
2.44,15.81,0.0,0.0
7.67,53.56,1.0,1.0
2.26,18.38,0.0,0.0
1.59,15.06,0.0,0.0
8.97,41.47,1.0,1.0
3.7,29.7,1.0,0.0
4.96,36.07,1.0,0.0
15.5,70.16,0.0,1.0
16.58,56.97,0.0,1.0
4.86,32.23,1.0,0.0
10.74,44.16,1.0,1.0
4.56,38.12,1.0,0.0
4.3,33.07,1.0,0.0
12.36,42.01,1.0,1.0
10.66,46.09,1.0,1.0
11.76,49.95,1.0,1.0
2.09,11.57,0.0,0.0
10.12,38.0,1.0,1.0
4.79,31.26,1.0,0.0
2.42,14.5,0.0,0.0
13.19,62.75,0.0,1.0
2.23,15.51,0.0,0.0
5.45,35.11,1.0,0.0
5.41,37.46,1.0,0.0
1.84,12.24,0.0,0.0
2.58,19.23,0.0,0.0
11.51,45.46,1.0,1.0
13.96,57.65,0.0,1.0
11.53,46.14,1.0,1.0
4.78,28.09,1.0,0.0
2.66,11.62,0.0,0.0
7.9,57.74,1.0,1.0
13.97,62.53,0.0,1.0
8.79,51.35,1.0,1.0
2.54,13.83,0.0,0.0
3.27,38.15,1.0,0.0
1.91,14.22,0.0,0.0
4.95,45.0,1.0,0.0
9.74,50.49,1.0,1.0
16.89,60.01,0.0,1.0
2.17,14.68,0.0,0.0
8.16,38.98,1.0,1.0
17.59,66.33,0.0,1.0
1.54,16.05,0.0,0.0
12.55,68.4,0.0,1.0
9.26,38.15,1.0,1.0
3.76,28.81,1.0,0.0
5.8,38.31,1.0,0.0
4.65,30.22,1.0,0.0
2.42,16.94,0.0,0.0
4.65,25.0,1.0,0.0
20.68,58.86,0.0,1.0
5.57,40.16,1.0,0.0
3.54,32.35,1.0,0.0
12.6,51.02,1.0,1.0
2.61,15.06,0.0,0.0
13.78,66.78,0.0,1.0
4.45,30.86,1.0,0.0
16.8,60.56,0.0,1.0
4.29,38.96,1.0,0.0
3.93,39.88,1.0,0.0
12.85,71.67,0.0,1.0
5.53,35.38,1.0,0.0
1.92,17.26,0.0,0.0
0.56,19.02,0.0,0.0
1.47,14.73,0.0,0.0
14.42,74.65,0.0,1.0
14.45,62.1,0.0,1.0
10.64,57.42,1.0,1.0
1.5,12.64,0.0,0.0
1.8,11.78,0.0,0.0
4.34,32.58,1.0,0.0
7.95,47.76,1.0,1.0
17.76,76.52,0.0,1.0
4.68,27.96,1.0,0.0
16.25,64.72,0.0,1.0
11.89,68.77,0.0,1.0
1.79,11.73,0.0,0.0
2.38,18.23,0.0,0.0
10.77,80.0,0.0,1.0
10.63,47.07,1.0,1.0
18.82,60.75,0.0,1.0
10.4,66.67,0.0,1.0
5.3,35.49,1.0,0.0
2.29,17.09,0.0,0.0
17.32,57.61,0.0,1.0
13.21,48.1,1.0,1.0
4.88,38.87,1.0,0.0
3.88,36.83,1.0,0.0
9.79,54.55,1.0,1.0
4.75,30.51,1.0,0.0
1.93,17.28,0.0,0.0
10.36,48.19,1.0,1.0
2.15,12.61,0.0,0.0
5.1,39.41,1.0,0.0
17.09,68.44,0.0,1.0
5.29,35.18,1.0,0.0
10.42,52.37,1.0,1.0
18.74,70.06,0.0,1.0
14.54,66.95,0.0,1.0
3.75,36.56,1.0,0.0
2.18,9.68,0.0,0.0
1.5,16.13,0.0,0.0
1.5,14.04,0.0,0.0
11.39,55.0,1.0,1.0
14.91,64.28,0.0,1.0
15.7,77.38,0.0,1.0
14.09,64.68,0.0,1.0
2.59,10.49,0.0,0.0
17.34,77.52,0.0,1.0
5.04,31.46,1.0,0.0
4.0,38.11,1.0,0.0
9.31,64.96,1.0,1.0
14.1,54.76,0.0,1.0
