temperature,time,overcooked
329.0,27.8,1.0
120.5,8.1,0.0
312.6,28.2,1.0
169.4,8.5,0.0
315.0,24.0,1.0
323.1,27.6,1.0
334.2,25.8,1.0
378.5,23.4,1.0
171.2,10.9,0.0
162.4,10.0,0.0
139.4,8.9,0.0
187.5,9.3,0.0
173.6,10.1,0.0
171.9,10.2,0.0
333.5,27.1,1.0
344.9,26.2,1.0
169.5,9.4,0.0
175.9,8.7,0.0
360.6,26.0,1.0
334.5,24.1,1.0
176.9,8.9,0.0
184.7,8.9,0.0
369.2,22.1,1.0
343.3,25.4,1.0
175.9,10.4,0.0
179.5,9.6,0.0
175.6,9.2,0.0
340.9,25.8,1.0
182.6,9.8,0.0
174.6,10.6,0.0
188.9,10.1,0.0
169.0,10.0,0.0
348.9,25.4,1.0
326.2,19.9,1.0
176.5,8.7,0.0
321.5,25.3,1.0
173.4,8.1,0.0
337.6,28.6,1.0
174.9,11.2,0.0
168.4,10.0,0.0
171.4,8.5,0.0
333.8,25.5,1.0
168.0,10.1,0.0
192.5,11.3,0.0
337.7,27.4,1.0
168.7,10.2,0.0
360.3,28.7,1.0
350.6,28.0,1.0
347.9,27.5,1.0
327.0,26.8,1.0
333.1,26.3,1.0
331.9,25.6,1.0
342.1,26.3,1.0
170.6,10.9,0.0
185.5,10.1,0.0
339.5,27.2,1.0
350.4,24.9,1.0
337.9,27.8,1.0
199.9,9.4,0.0
375.0,31.0,1.0
340.3,26.9,1.0
184.1,10.3,0.0
173.1,10.1,0.0
167.3,10.2,0.0
340.2,27.5,1.0
328.8,25.4,1.0
174.7,10.0,0.0
339.7,24.9,1.0
350.0,27.0,1.0
175.1,9.0,0.0
183.1,11.5,0.0
175.3,10.7,0.0
175.3,9.6,0.0
322.9,27.8,1.0
167.3,10.6,0.0
168.6,10.3,0.0
165.7,10.2,0.0
321.4,28.9,1.0
175.7,9.3,0.0
308.7,26.9,1.0
327.3,29.2,1.0
170.3,9.5,0.0
339.1,25.4,1.0
352.6,28.6,1.0
340.7,25.1,1.0
174.4,9.0,0.0
347.3,28.0,1.0
174.9,10.3,0.0
316.3,27.1,1.0
171.7,9.1,0.0
348.7,27.3,1.0
340.9,25.4,1.0
174.6,9.7,0.0
172.6,9.9,0.0
355.3,27.1,1.0
149.3,11.8,0.0
347.6,24.9,1.0
345.1,25.6,1.0
210.9,11.4,0.0
341.0,28.6,1.0
336.8,26.5,1.0
165.4,9.9,0.0
188.0,9.9,0.0
337.4,27.0,1.0
340.3,26.2,1.0
358.6,25.8,1.0
400.0,35.0,1.0
343.9,28.2,1.0
346.4,25.0,1.0
348.9,25.8,1.0
178.0,10.2,0.0
168.8,9.6,0.0
176.5,9.1,0.0
170.7,9.5,0.0
188.3,8.8,0.0
345.5,27.7,1.0
331.9,24.6,1.0
166.8,9.3,0.0
341.4,26.5,1.0
330.3,26.1,1.0
180.2,10.1,0.0
169.6,10.7,0.0
340.4,25.0,1.0
176.1,10.7,0.0
173.9,10.4,0.0
162.6,10.4,0.0
175.8,10.1,0.0
183.1,9.7,0.0
168.2,10.0,0.0
334.0,27.5,1.0
150.3,8.6,0.0
199.5,7.5,0.0
181.2,9.0,0.0
368.0,24.2,1.0
170.9,7.8,0.0
343.5,28.0,1.0
175.1,9.3,0.0
172.5,9.7,0.0
173.5,10.0,0.0
340.5,26.0,1.0
350.3,27.5,1.0
183.2,9.8,0.0
170.9,9.6,0.0
184.4,9.5,0.0
343.3,24.8,1.0
293.8,29.8,1.0
346.6,26.6,1.0
347.1,26.6,1.0
